,factor,cagr,sharpe,max_drawdown,hit_rate,avg_turnover,ff4_alpha_monthly,ff4_alpha_se,capm_alpha_monthly,capm_alpha_se,n_months,mean_monthly_ls,annualized_vol_ls
0,momentum,0.03134487347762205,0.387599659760285,-0.14607322903257347,0.6161616161616161,0.34847147650268895,,,,,99,0.002914808820353508,0.0902418383593897
1,BtM,-0.039847856599733444,-0.35165675774160454,-0.3608055176919305,0.4827586206896552,0.2866460716665914,,,,,87,-0.0029593637873282876,0.10098587519263238
2,ivol,-0.04213559038796322,-0.31667831670166097,-0.3984734320686617,0.5283018867924528,0.30783882783882777,,,,,106,-0.003028772179676667,0.11477030235183568
3,ROA,-0.02093409427776316,-0.17810737126330706,-0.3047790607794839,0.4732142857142857,0.31628143981085144,,,,,112,-0.0013959174166029867,0.09405006025534897
