trade_date,code,name,rank
2026-02-04,688800,瑞可达,10
2026-02-05,000592,平潭发展,1
2026-02-05,300017,网宿科技,2
2026-02-05,688712,N北芯-U,3
2026-02-05,300300,海峡创新,4
2026-02-05,002467,二六三,5
2026-02-05,600036,招商银行,6
2026-02-05,002361,神剑股份,7
2026-02-05,601138,工业富联,8
2026-02-05,000333,美的集团,9
2026-02-05,300251,光线传媒,10
2026-02-09,688818,N电科,1
2026-02-09,300251,光线传媒,2
2026-02-09,300274,阳光电源,3
2026-02-09,300502,新易盛,4
2026-02-09,300364,中文在线,5
2026-02-09,688041,海光信息,6
2026-02-09,603259,药明康德,7
2026-02-09,600487,亨通光电,8
2026-02-09,601138,工业富联,9
2026-02-09,000681,视觉中国,10
2026-02-13,600410,华胜天成,1
2026-02-13,000021,深科技,2
2026-02-13,300308,中际旭创,3
2026-02-13,603986,兆易创新,4
2026-02-13,000859,国风新材,5
2026-02-13,002371,北方华创,6
2026-02-13,002384,东山精密,7
2026-02-13,002703,浙江世宝,8
2026-02-13,002009,天奇股份,9
2026-02-13,001309,德明利,10
2026-02-24,300308,中际旭创,1
2026-02-24,000988,华工科技,2
2026-02-24,601390,中国中铁,3
2026-02-24,300418,昆仑万维,4
2026-02-24,002463,沪电股份,5
2026-02-24,000338,潍柴动力,6
2026-02-24,300476,胜宏科技,7
2026-02-24,300502,新易盛,8
2026-02-24,603601,再升科技,9
2026-02-24,300442,润泽科技,10
2026-02-23,689009,九号公司-WD,1
2026-02-23,688981,中芯国际,2
2026-02-23,688819,天能股份,3
2026-02-23,688818,电科蓝天,4
2026-02-23,688816,C易思,5
2026-02-23,688809,强一股份,6
2026-02-23,688807,优迅股份,7
2026-02-23,688805,健信超导,8
2026-02-23,688802,沐曦股份-U,9
2026-02-23,688800,瑞可达,10
2026-02-25,002463,沪电股份,1
2026-02-25,300476,胜宏科技,2
2026-02-25,600487,亨通光电,3
2026-02-25,600410,华胜天成,4
2026-02-25,300442,润泽科技,5
2026-02-25,600343,航天动力,6
2026-02-25,300303,聚飞光电,7
2026-02-25,600522,中天科技,8
2026-02-25,688521,芯原股份,9
2026-02-25,300499,高澜股份,10
2026-03-01,002594,比亚迪,1
2026-03-01,300502,新易盛,2
2026-03-01,300308,中际旭创,3
2026-03-01,600118,中国卫星,4
2026-03-01,002384,东山精密,5
2026-03-01,603083,剑桥科技,6
2026-03-01,002413,雷科防务,7
2026-03-01,600089,特变电工,8
2026-03-01,002536,飞龙股份,9
2026-03-01,300274,阳光电源,10
2026-03-05,002506,协鑫集成,1
2026-03-05,002261,拓维信息,2
2026-03-05,601868,中国能建,3
2026-03-05,001696,宗申动力,4
2026-03-05,300750,宁德时代,5
2026-03-05,300475,香农芯创,6
2026-03-05,000338,潍柴动力,7
2026-03-05,301680,C固德电,8
2026-03-05,301205,联特科技,9
2026-03-05,300502,新易盛,10
